State,main,fAdd,fRemove,fSort,fUpper,fLower,fLength,fRefresh,fDiff_dates,fCollectData,fCompare,paramStart,paramEnd,id,comma,term,opAtrib,opAccess,tInt,tFloat,tString,tBool,tCommit,tUser,tRepository,tFile,tIssue,tPullRequest,tComment,tDate,tInts,tFloats,tStrings,tBools,tCommits,tUsers,tRepositories,tFiles,tIssues,tPullRequests,tComments,tDates,tVoid,prWrite,prRead,prWhile,prFor,in,prIf,prElse,escStart,escEnd,ExpC,opAritAd,opAritMul,opLogicAnd,opLogicOr,opRel1,opRel2,OpRel3,tLitInt,tLitFloat,tLitBool,tLitString,opConc,prReturn,$
45,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,,,s49,,,,,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,,s50,s51,s52,s53,,s54,s55,,s47,,,,,,,,,s60,s61,,s62,,s59,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s82,,,,,,,,,,,,,,,
47,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,,,r76,,,,,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,,r76,r76,,r76,,,,,,,,,r76,r76,,r76,,r76,r76
48,,,,,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,r30,,r30,r30,s84,s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r30,,,r30,r30,,,r30,r30,r30,,,,,r30,,
50,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s87,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s60,s61,s94,,,,
51,,,,,,,,,,,,s95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s97,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s60,s61,s94,,,,
53,,,,,,,,,,,,,,s98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s97,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s60,s61,s94,,,,
